src_comm_id,src_comm_title,dst_comm_id,dst_comm_title,result
302,"Neuroscience, Cytology and Brain Science",201,Chemical Physic,0.002290897929233781
305,Reproductive Endorinology and Metabolism,203,Polymer and Pharmaceutical Science,0.0021614977291383036
502,Psychiatry,403,Biochemical and Ecologyical Engineering,0.0021227608954785195
301,"Cellular, Molecular and Genetic Boilogy",1,Applied Algebra and Methematic,0.0020485449963828463
407,Neurological Science,304,Nephrology and Biochemistry,0.0019413647022525587
203,Polymer and Pharmaceutical Science,15,Geomorphology,0.001936142119228911
108,Hematology,407,Neurological Science,0.0018028380250818606
200,Analytical Chemistry,104,Pathology and Oncology,0.0017052933289047989
507,International Business Management and Human Behavior,403,Biochemical and Ecologyical Engineering,0.001690763097350211
200,Analytical Chemistry,302,"Neuroscience, Cytology and Brain Science",0.001635688217682685
203,Polymer and Pharmaceutical Science,104,Pathology and Oncology,0.0016032443009675239
205,Organometallic and Medicinal Chemistry,102,Pharmacy and Public Health,0.00147655864545764
205,Organometallic and Medicinal Chemistry,1,Applied Algebra and Methematic,0.0011610765221995412
408,Marine Biology and Ecology,302,"Neuroscience, Cytology and Brain Science",0.0011223083691664039
413,Botany and Plant Biology,203,Polymer and Pharmaceutical Science,0.0011073220543479677
511,Marketing and Consumer Psychology,414,Chemical and Physical Engineering,0.0010262864326240054
511,Marketing and Consumer Psychology,403,Biochemical and Ecologyical Engineering,9.99451210426275E-4
413,Botany and Plant Biology,303,Immunology and Rheumatology,9.696405172306838E-4
413,Botany and Plant Biology,15,Geomorphology,9.617382476375167E-4
300,Micrology and Boichemistry,507,International Business Management and Human Behavior,9.54559326981768E-4
406,"Biogeography, Ecology and Biology",303,Immunology and Rheumatology,9.381574813981737E-4
304,Nephrology and Biochemistry,502,Psychiatry,8.871193264095202E-4
15,Geomorphology,306,Infectious Diseases and Virology,8.191530326801962E-4
507,International Business Management and Human Behavior,301,"Cellular, Molecular and Genetic Boilogy",7.229226875279902E-4
511,Marketing and Consumer Psychology,301,"Cellular, Molecular and Genetic Boilogy",6.334621220523716E-4
204,Nanotechnology and Materical Chemistry,408,Marine Biology and Ecology,6.144735151851323E-4
104,Pathology and Oncology,205,Organometallic and Medicinal Chemistry,6.065863670149362E-4
104,Pathology and Oncology,1,Applied Algebra and Methematic,5.899481471266353E-4
102,Pharmacy and Public Health,200,Analytical Chemistry,5.160604183130809E-4
104,Pathology and Oncology,403,Biochemical and Ecologyical Engineering,5.066886636109825E-4
303,Immunology and Rheumatology,403,Biochemical and Ecologyical Engineering,4.906187959894461E-4
408,Marine Biology and Ecology,202,"Physical, Mathematical and Engineering Science",4.514398633186252E-4
414,Chemical and Physical Engineering,102,Pharmacy and Public Health,4.463070393049266E-4
204,Nanotechnology and Materical Chemistry,1,Applied Algebra and Methematic,4.212340689575525E-4
108,Hematology,205,Organometallic and Medicinal Chemistry,4.1646638069522593E-4
408,Marine Biology and Ecology,205,Organometallic and Medicinal Chemistry,4.1575446611490276E-4
414,Chemical and Physical Engineering,304,Nephrology and Biochemistry,4.047890172988328E-4
205,Organometallic and Medicinal Chemistry,406,"Biogeography, Ecology and Biology",3.432748365173927E-4
