source,target
35361,93679
85912,119494
35361,4850
141702,57270
141702,60372
35361,90560
35361,75922
141702,16867
141702,187099
79349,85856
85912,177044
141702,177160
85912,155312
35361,61898
141702,43251
15698,32413
171982,3336
35361,14770
141702,94889
35361,5403
35361,27478
57231,25837
189379,189418
35361,16078
90831,119494
35361,136781
141702,20920
141702,91475
35361,19292
141702,16617
15698,112968
141702,120827
141702,23841
15698,3336
141702,67695
35361,75301
15698,91165
141702,43204
141702,187184
168495,168488
141702,115432
15698,34363
35361,57662
141702,25107
141702,146872
171982,177289
35361,128326
35361,16656
141702,119441
141702,187080
35361,71333
171982,18313
187074,95272
141702,51839
35361,161503
39439,145023
141702,16878
151216,92725
141702,43231
35361,177279
141702,30780
35361,4891
141702,30731
35361,4826
141702,69518
15698,91219
171982,51315
171982,53629
141702,6051
35361,187232
141702,131742
141702,177287
125931,27518
141702,144547
94153,42297
141702,92171
32518,32489
35361,16032
141702,27525
176681,19551
126841,177402
141702,24196
171982,123912
141702,119430
35361,18946
141702,187109
141702,115704
125931,18946
20349,172240
176681,119796
15757,90532
81017,22100
35361,179474
141702,91381
141702,187075
35361,22062
15698,28052
141702,169633
141702,145023
172239,20271
141702,103076
14694,147297
35361,34823
141702,22021
15698,64926
79349,169685
35361,14225
35361,16704
141702,172240
171982,147453
176979,35859
15698,177288
39439,155312
141702,92626
141702,89613
141702,112480
141702,16190
79349,86785
35361,15380
39439,141702
141702,119406
171982,32071
14694,128484
141702,177394
194417,132986
35361,177033
35361,27518
15698,91918
141702,144548
39439,94025
141702,30697
141702,67271
126841,93871
35361,59020
171982,6051
35361,18960
15757,25894
14694,90704
15757,15712
35361,22036
113413,90453
35361,108843
141702,18230
15698,97678
141702,179747
141702,24840
35361,71358
141702,85450
15698,123912
141702,57169
141702,30696
189379,87000
141702,21994
35361,26448
85912,120827
15757,53629
171982,53718
141702,85725
15757,63404
15698,24195
141702,92170
35361,177261
35361,171923
15698,91919
15698,27983
14694,177296
39439,187080
35361,27491
126841,45747
141702,133852
171982,185546
35361,16627
35361,16617
15698,83293
35361,42030
141702,120176
14694,30032
141702,92948
141702,27469
151216,55990
35361,171937
35361,18944
119429,119494
35361,122047
35361,18957
141702,35709
141702,155140
141702,31017
15698,145692
141702,104950
141702,29780
35361,40297
141702,83293
141702,177267
35361,96398
35361,125975
35361,151262
141702,75922
141702,60457
154954,94455
35361,95272
187074,119494
152084,90704
171982,155407
141702,119425
141702,16880
39439,120168
35361,27469
39439,120727
141702,155146
39439,92184
35361,119796
141702,46791
171982,32222
141702,14833
141702,94025
39439,119494
14694,91096
141702,3351
141702,106417
194149,177033
141702,61087
171982,119380
126841,91704
35361,86170
141702,25746
15698,3351
15698,177029
152084,109075
35361,4632
141702,176349
35361,29422
35361,108570
141702,32217
171982,158482
171982,24195
35361,95038
113413,22100
15698,94869
141702,16818
126841,94018
113413,22058
141702,185734
141702,24197
15698,118181
174980,151731
141702,191131
15698,32430
189379,56865
79349,95450
35361,13194
15698,112966
35361,50565
171982,57270
14694,4779
39439,144979
14694,85730
171982,90532
119429,172240
189379,16687
35361,84417
35361,14694
15698,68426
172239,155312
35361,171914
35361,21973
141702,39465
57231,31897
141702,120799
171982,34363
15757,156644
35361,130062
85912,93692
89706,93384
141702,43245
35361,177160
15757,15834
15698,177267
141702,187198
141702,125142
141702,91136
134824,57270
35361,95258
14694,155312
35361,95056
176681,119812
15698,32322
15698,155272
151216,39623
141702,177033
141702,61077
35361,95260
194149,78069
39439,91381
141702,19292
15698,92802
187074,141702
15698,34201
87002,91979
15698,94279
15698,6051
141702,119387
141702,155085
151216,150155
141702,43229
141702,91123
15698,91398
126841,45735
141702,115782
141702,16841
141702,93149
171982,94279
171982,4461
141702,22017
15698,86060
141702,16877
39439,27121
141702,92752
35361,18973
35361,27473
141702,88888
85912,46783
141702,34513
91397,95271
35361,130068
151216,92061
39439,119426
15698,94046
15757,34363
15698,177289
35361,132633
14694,33618
15757,94047
141702,91161
35361,186578
35361,35362
171982,32322
141702,90704
141702,115723
14694,119494
81017,89613
141702,90703
171982,112968
25940,95323
141702,120771
35361,18909
141702,30933
35361,47631
39439,35464
151216,155272
14694,30536
174980,90862
141702,120228
141702,105125
74004,119494
171982,91223
14694,34324
141702,16846
141702,22971
35361,189821
141702,54560
35361,152840
14694,14770
171982,94378
57231,150155
141702,92154
171982,127075
35361,59420
35361,154857
171982,53693
14694,143451
35361,154853
15698,53693
141702,16875
15698,32071
35361,14332
141702,115861
171982,18230
141702,96398
187074,155312
15698,104950
35361,92752
15698,4461
141702,115707
141702,115800
171982,95315
141702,90751
141702,18923
35361,154708
141702,44477
125931,125975
91397,177291
141702,43225
35361,90453
14694,29928
141702,67866
141702,43221
35361,91342
15698,75778
141702,125090
154954,155116
151216,176707
85912,120799
141702,24206
141702,132457
113413,27509
141702,55615
141702,171937
35361,171901
171982,128328
143938,95271
141702,187177
15698,24040
15698,35831
15698,92504
35361,90627
141702,93692
35361,129654
15698,42179
94351,94443
25940,25559
151216,17976
141702,76814
57231,65760
94351,14950
15698,191915
35361,59191
35361,16702
35361,86742
35361,59090
35361,89720
35361,5406
14694,16656
141702,30769
141702,156505
15698,119380
141702,94113
35361,128319
141702,77931
171982,5926
35361,94018
35361,168488
57231,57270
151216,52102
85912,46782
172239,91487
35361,91331
35361,14794
15698,4667
15698,106406
141702,61088
141702,177289
13410,14711
35361,43161
35361,94014
35361,50459
35361,169643
85912,91116
141702,120727
141702,3342
35361,22092
172239,20273
141702,32003
141702,75986
171982,93291
35361,93978
141702,14857
151216,92504
174980,92249
35361,177017
176681,25306
141702,77785
172239,177029
152084,161666
35361,177402
35361,177680
15698,32222
171982,94569
141702,16881
35361,147297
141702,102589
87002,120916
141702,133909
35361,186162
172239,145576
14694,47561
171982,94047
172716,34513
35361,42053
172239,80040
15757,94046
35361,92092
15698,93285
35361,75476
141702,144979
141702,25306
25837,191915
67295,55795
17842,177394
25837,57270
25837,18127
25837,26038
63361,90532
25837,191976
24204,24040
25837,31897
25837,92504
67295,67271
25837,86227
67295,71333
25837,150155
25837,25239
25837,32430
63361,63404
67295,171914
25837,65760
24204,24195
25837,142801
25837,191805
25837,55890
25837,17976
